ACC=0.322378, f1_macro=0.229281, precision_macro=0.246658, recall_macro=0.248155, f1_micro=0.322378, precision_micro=0.322378, recall_micro=0.322378, NMI=0.254693, ADJ_RAND_SCORE=0.118301
ACC=0.326071, f1_macro=0.233061, precision_macro=0.270761, recall_macro=0.264141, f1_micro=0.326071, precision_micro=0.326071, recall_micro=0.326071, NMI=0.225897, ADJ_RAND_SCORE=0.097663
ACC=0.334564, f1_macro=0.238236, precision_macro=0.271015, recall_macro=0.274309, f1_micro=0.334564, precision_micro=0.334564, recall_micro=0.334564, NMI=0.219500, ADJ_RAND_SCORE=0.097394
ACC=0.343796, f1_macro=0.250060, precision_macro=0.285001, recall_macro=0.283440, f1_micro=0.343796, precision_micro=0.343796, recall_micro=0.343796, NMI=0.228519, ADJ_RAND_SCORE=0.072927
ACC=0.362629, f1_macro=0.317995, precision_macro=0.323740, recall_macro=0.324295, f1_micro=0.362629, precision_micro=0.362629, recall_micro=0.362629, NMI=0.128053, ADJ_RAND_SCORE=0.088243
ACC=0.361521, f1_macro=0.308761, precision_macro=0.325817, recall_macro=0.308959, f1_micro=0.361521, precision_micro=0.361521, recall_micro=0.361521, NMI=0.141195, ADJ_RAND_SCORE=0.090420
ACC=0.370015, f1_macro=0.310585, precision_macro=0.322434, recall_macro=0.313920, f1_micro=0.370015, precision_micro=0.370015, recall_micro=0.370015, NMI=0.144575, ADJ_RAND_SCORE=0.097261
ACC=0.397341, f1_macro=0.340543, precision_macro=0.339351, recall_macro=0.364235, f1_micro=0.397341, precision_micro=0.397341, recall_micro=0.397341, NMI=0.161251, ADJ_RAND_SCORE=0.105007
ACC=0.426145, f1_macro=0.386418, precision_macro=0.405982, recall_macro=0.412770, f1_micro=0.426145, precision_micro=0.426145, recall_micro=0.426145, NMI=0.211158, ADJ_RAND_SCORE=0.117447
ACC=0.406942, f1_macro=0.324329, precision_macro=0.337324, recall_macro=0.356161, f1_micro=0.406942, precision_micro=0.406942, recall_micro=0.406942, NMI=0.228735, ADJ_RAND_SCORE=0.139589
ACC=0.428730, f1_macro=0.380072, precision_macro=0.426831, recall_macro=0.380562, f1_micro=0.428730, precision_micro=0.428730, recall_micro=0.428730, NMI=0.284300, ADJ_RAND_SCORE=0.163288
ACC=0.433161, f1_macro=0.389585, precision_macro=0.449894, recall_macro=0.395995, f1_micro=0.433161, precision_micro=0.433161, recall_micro=0.433161, NMI=0.303536, ADJ_RAND_SCORE=0.175134
ACC=0.440177, f1_macro=0.397986, precision_macro=0.458413, recall_macro=0.404608, f1_micro=0.440177, precision_micro=0.440177, recall_micro=0.440177, NMI=0.321061, ADJ_RAND_SCORE=0.186033
ACC=0.430576, f1_macro=0.398110, precision_macro=0.456375, recall_macro=0.410137, f1_micro=0.430576, precision_micro=0.430576, recall_micro=0.430576, NMI=0.325425, ADJ_RAND_SCORE=0.186880
ACC=0.489660, f1_macro=0.487907, precision_macro=0.543963, recall_macro=0.473997, f1_micro=0.489660, precision_micro=0.489660, recall_micro=0.489660, NMI=0.352142, ADJ_RAND_SCORE=0.250557
ACC=0.495569, f1_macro=0.489549, precision_macro=0.539627, recall_macro=0.485623, f1_micro=0.495569, precision_micro=0.495569, recall_micro=0.495569, NMI=0.350046, ADJ_RAND_SCORE=0.249801
ACC=0.594535, f1_macro=0.580317, precision_macro=0.612691, recall_macro=0.587250, f1_micro=0.594535, precision_micro=0.594535, recall_micro=0.594535, NMI=0.376768, ADJ_RAND_SCORE=0.297669
ACC=0.607459, f1_macro=0.591936, precision_macro=0.619557, recall_macro=0.601504, f1_micro=0.607459, precision_micro=0.607459, recall_micro=0.607459, NMI=0.389567, ADJ_RAND_SCORE=0.317141
ACC=0.623338, f1_macro=0.605391, precision_macro=0.629045, recall_macro=0.616276, f1_micro=0.623338, precision_micro=0.623338, recall_micro=0.623338, NMI=0.404653, ADJ_RAND_SCORE=0.343208
ACC=0.514402, f1_macro=0.509692, precision_macro=0.561955, recall_macro=0.524203, f1_micro=0.514402, precision_micro=0.514402, recall_micro=0.514402, NMI=0.370262, ADJ_RAND_SCORE=0.270670
ACC=0.527326, f1_macro=0.520143, precision_macro=0.568484, recall_macro=0.539282, f1_micro=0.527326, precision_micro=0.527326, recall_micro=0.527326, NMI=0.384560, ADJ_RAND_SCORE=0.289638
ACC=0.526219, f1_macro=0.517873, precision_macro=0.567642, recall_macro=0.537827, f1_micro=0.526219, precision_micro=0.526219, recall_micro=0.526219, NMI=0.387402, ADJ_RAND_SCORE=0.290567
ACC=0.534712, f1_macro=0.511388, precision_macro=0.513725, recall_macro=0.539471, f1_micro=0.534712, precision_micro=0.534712, recall_micro=0.534712, NMI=0.395219, ADJ_RAND_SCORE=0.301832
ACC=0.531388, f1_macro=0.509481, precision_macro=0.507191, recall_macro=0.527055, f1_micro=0.531388, precision_micro=0.531388, recall_micro=0.531388, NMI=0.392119, ADJ_RAND_SCORE=0.285982
ACC=0.531388, f1_macro=0.520180, precision_macro=0.567278, recall_macro=0.542212, f1_micro=0.531388, precision_micro=0.531388, recall_micro=0.531388, NMI=0.392082, ADJ_RAND_SCORE=0.295925
ACC=0.601551, f1_macro=0.601723, precision_macro=0.627703, recall_macro=0.638103, f1_micro=0.601551, precision_micro=0.601551, recall_micro=0.601551, NMI=0.420445, ADJ_RAND_SCORE=0.331066
ACC=0.619645, f1_macro=0.615674, precision_macro=0.632701, recall_macro=0.643032, f1_micro=0.619645, precision_micro=0.619645, recall_micro=0.619645, NMI=0.420889, ADJ_RAND_SCORE=0.353414
ACC=0.530650, f1_macro=0.511561, precision_macro=0.511410, recall_macro=0.525444, f1_micro=0.530650, precision_micro=0.530650, recall_micro=0.530650, NMI=0.397570, ADJ_RAND_SCORE=0.287998
ACC=0.560931, f1_macro=0.555580, precision_macro=0.562876, recall_macro=0.585773, f1_micro=0.560931, precision_micro=0.560931, recall_micro=0.560931, NMI=0.389562, ADJ_RAND_SCORE=0.315405
ACC=0.370015, f1_macro=0.351024, precision_macro=0.356692, recall_macro=0.349703, f1_micro=0.370015, precision_micro=0.370015, recall_micro=0.370015, NMI=0.179400, ADJ_RAND_SCORE=0.122210
ACC=0.466027, f1_macro=0.468810, precision_macro=0.498814, recall_macro=0.451452, f1_micro=0.466027, precision_micro=0.466027, recall_micro=0.466027, NMI=0.321913, ADJ_RAND_SCORE=0.221066
ACC=0.491137, f1_macro=0.494586, precision_macro=0.569200, recall_macro=0.511866, f1_micro=0.491137, precision_micro=0.491137, recall_micro=0.491137, NMI=0.352236, ADJ_RAND_SCORE=0.223397
